monophyletic_group_code	Genes	Homolog group	Multiple sequence alignment	Phylogenetic tree	Species
F12457_CLN_G1	csin109754, csin100397, csin105275	2031_cln.2031.faa	2031_cln.2031.faa.msa	2031_cln.2031.faa.msa.tree.	C. sinensis
F12565_CLN_G1	csin106174, csin110285, csin113070, csin103182, csin109939, csin113632, csin112693, csin112278, csin101238, csin109607, csin103414	207_cln.207.faa	207_cln.207.faa.msa	207_cln.207.faa.msa.tree.	C. sinensis
F12692_CLN_G1	csin104846, csin105859	2162_cln.2162.faa	2162_cln.2162.faa.msa	2162_cln.2162.faa.msa.tree.	C. sinensis
F12769_CLN_G1	csin112907, csin108319	2219_cln.2219.faa	2219_cln.2219.faa.msa	2219_cln.2219.faa.msa.tree.	C. sinensis
F12771_CLN_G1	csin100018, csin113345	2220_cln.2220.faa	2220_cln.2220.faa.msa	2220_cln.2220.faa.msa.tree.	C. sinensis
F12779_CLN_G1	csin111801, csin102960	2223_cln.2223.faa	2223_cln.2223.faa.msa	2223_cln.2223.faa.msa.contree.tree.	C. sinensis
F12812_CLN_G1	csin105901, csin106363	2242_cln.2242.faa	2242_cln.2242.faa.msa	2242_cln.2242.faa.msa.tree.	C. sinensis
F12851_CLN_G1	csin111561, csin105483, csin101378, csin104197, csin105647, csin106391, csin100450, csin104146, csin108842, csin100573, csin105269, csin100608, csin102828, csin103530, csin107092, csin108347, csin107826, csin108612, csin109763, csin105179, csin100780, csin108758, csin112207	226_cln.226.faa	226_cln.226.faa.msa	226_cln.226.faa.msa.tree.	C. sinensis
F12893_CLN_G1	csin112557, csin113283, csin112787, csin110781, csin105078	2301_cln.2301.faa	2301_cln.2301.faa.msa	2301_cln.2301.faa.msa.tree.	C. sinensis
F12895_CLN_G1	csin110213, csin112252, csin106104, csin101950	2305_cln.2305.faa	2305_cln.2305.faa.msa	2305_cln.2305.faa.msa.tree.	C. sinensis
F13007_CLN_G1	csin101593, csin104646, csin100248	2383_cln.2383.faa	2383_cln.2383.faa.msa	2383_cln.2383.faa.msa.tree.	C. sinensis
F13024_CLN_G1	csin113134, csin113199, csin111238, csin113604, csin101424, csin111975, csin112190, csin109516, csin101864, csin100192, csin112087, csin104932	239_cln.239.faa	239_cln.239.faa.msa	239_cln.239.faa.msa.tree.	C. sinensis
F13064_CLN_G1	csin103610, csin104761	2406_cln.2406.faa	2406_cln.2406.faa.msa	2406_cln.2406.faa.msa.tree.	C. sinensis
F13071_CLN_G1	csin100992, csin107486	2410_cln.2410.faa	2410_cln.2410.faa.msa	2410_cln.2410.faa.msa.tree.	C. sinensis
F13083_CLN_G1	csin108808, csin103930, csin101278, csin112772	2415_cln.2415.faa	2415_cln.2415.faa.msa	2415_cln.2415.faa.msa.tree.	C. sinensis
F13151_CLN_G1	csin103488, csin109339	2449_cln.2449.faa	2449_cln.2449.faa.msa	2449_cln.2449.faa.msa.tree.	C. sinensis
F13350_CLN_G1	csin101077, csin111911	2598_cln.2598.faa	2598_cln.2598.faa.msa	2598_cln.2598.faa.msa.tree.	C. sinensis
F13359_CLN_G1	csin113316, csin111174	2609_cln.2609.faa	2609_cln.2609.faa.msa	2609_cln.2609.faa.msa.tree.	C. sinensis
F13378_CLN_G1	csin113242, csin101588	2637_cln.2637.faa	2637_cln.2637.faa.msa	2637_cln.2637.faa.msa.tree.	C. sinensis
F13400_CLN_G1	csin105090, csin113303	2654_cln.2654.faa	2654_cln.2654.faa.msa	2654_cln.2654.faa.msa.tree.	C. sinensis
F13409_CLN_G1	csin111572, csin112014, csin107390, csin109659, csin112281	2674_cln.2674.faa	2674_cln.2674.faa.msa	2674_cln.2674.faa.msa.contree.tree.	C. sinensis
F13412_CLN_G1	csin110137, csin101703, csin101583	2680_cln.2680.faa	2680_cln.2680.faa.msa	2680_cln.2680.faa.msa.tree.	C. sinensis
F13517_CLN_G1	csin109470, csin100736, csin109887	2735_cln.2735.faa	2735_cln.2735.faa.msa	2735_cln.2735.faa.msa.tree.	C. sinensis
F13716_CLN_G1	csin104910, csin110714, csin106203	2767_cln.2767.faa	2767_cln.2767.faa.msa	2767_cln.2767.faa.msa.tree.	C. sinensis
F14028_CLN_G1	csin106770, csin108791, csin103292, csin111962, csin111146	2917_cln.2917.faa	2917_cln.2917.faa.msa	2917_cln.2917.faa.msa.tree.	C. sinensis
F14043_CLN_G1	csin112110, csin107746, csin111904, csin107391, csin109660	293_cln.293.faa	293_cln.293.faa.msa	293_cln.293.faa.msa.contree.tree.	C. sinensis
F14081_CLN_G1	csin100635, csin105314, csin106302	2955_cln.2955.faa	2955_cln.2955.faa.msa	2955_cln.2955.faa.msa.tree.	C. sinensis
F14287_CLN_G1	csin113005, csin113007	309_cln.309.faa	309_cln.309.faa.msa	309_cln.309.faa.msa.tree.	C. sinensis
F14288_CLN_G1	csin103967, csin100039, csin108202, csin106730, csin100599, csin108021, csin107506, csin103810, csin100267, csin105603, csin112988, csin111196, csin107012, csin102253, csin106845, csin113191	3090_cln.3090.faa	3090_cln.3090.faa.msa	3090_cln.3090.faa.msa.tree.	C. sinensis
F14342_CLN_G1	csin105035, csin106389, csin108738	313_cln.313.faa	313_cln.313.faa.msa	313_cln.313.faa.msa.tree.	C. sinensis
F14370_CLN_G1	csin110064, csin110065	3163_cln.3163.faa	3163_cln.3163.faa.msa	3163_cln.3163.faa.msa.tree.	C. sinensis
F14439_CLN_G1	csin113043, csin103527, csin110262, csin111699, csin108364, csin107865, csin100737, csin107740, csin113556, csin102862, csin113196, csin103700, csin112361, csin106261, csin110025, csin104581, csin112062, csin112890, csin109033, csin113037, csin108982, csin109463, csin112318, csin107764	32_cln.32.faa	32_cln.32.faa.msa	32_cln.32.faa.msa.tree.	C. sinensis
F14473_CLN_G1	csin109988, csin108033, csin110433, csin110114	3242_cln.3242.faa	3242_cln.3242.faa.msa	3242_cln.3242.faa.msa.tree.	C. sinensis
F14488_CLN_G1	csin107175, csin112391, csin104347, csin106129	326_cln.326.faa	326_cln.326.faa.msa	326_cln.326.faa.msa.tree.	C. sinensis
F14699_CLN_G1	csin103521, csin104901, csin101060	3459_cln.3459.faa	3459_cln.3459.faa.msa	3459_cln.3459.faa.msa.tree.	C. sinensis
F14974_CLN_G1	csin107433, csin107087, csin102362, csin112748, csin101621, csin109912, csin105821, csin103493, csin104085, csin104827	3554_cln.3554.faa	3554_cln.3554.faa.msa	3554_cln.3554.faa.msa.tree.	C. sinensis
F15286_CLN_G1	csin104036, csin103103, csin106855, csin100156, csin101232, csin112853, csin105843, csin100030, csin102653, csin109313, csin102244	3688_cln.3688.faa	3688_cln.3688.faa.msa	3688_cln.3688.faa.msa.tree.	C. sinensis
F15436_CLN_G1	csin102492, csin109693	3813_cln.3813.faa	3813_cln.3813.faa.msa	3813_cln.3813.faa.msa.tree.	C. sinensis
F15589_CLN_G1	csin109812, csin108509, csin112670, csin112203, csin101376	4012_cln.4012.faa	4012_cln.4012.faa.msa	4012_cln.4012.faa.msa.tree.	C. sinensis
F15654_CLN_G1	csin106150, csin103123	4037_cln.4037.faa	4037_cln.4037.faa.msa	4037_cln.4037.faa.msa.tree.	C. sinensis
F15827_CLN_G1	csin113233, csin108025, csin106892	418_cln.418.faa	418_cln.418.faa.msa	418_cln.418.faa.msa.tree.	C. sinensis
F15864_CLN_G1	csin104887, csin100887, csin109281	4225_cln.4225.faa	4225_cln.4225.faa.msa	4225_cln.4225.faa.msa.tree.	C. sinensis
F16145_CLN_G1	csin108958, csin108957	425_cln.425.faa	425_cln.425.faa.msa	425_cln.425.faa.msa.tree.	C. sinensis
F17019_CLN_G1	csin111752, csin107284, csin107249, csin109247, csin107080, csin107942, csin100556, csin113582, csin106547	431_cln.431.faa	431_cln.431.faa.msa	431_cln.431.faa.msa.tree.	C. sinensis
F17418_CLN_G1	csin109866, csin102053, csin113313	4352_cln.4352.faa	4352_cln.4352.faa.msa	4352_cln.4352.faa.msa.tree.	C. sinensis
F18047_CLN_G1	csin100287, csin113194	4446_cln.4446.faa	4446_cln.4446.faa.msa	4446_cln.4446.faa.msa.tree.	C. sinensis
F18095_CLN_G1	csin104819, csin111069, csin106425	4459_cln.4459.faa	4459_cln.4459.faa.msa	4459_cln.4459.faa.msa.tree.	C. sinensis
F18204_CLN_G1	csin106594, csin100060, csin110512	4489_cln.4489.faa	4489_cln.4489.faa.msa	4489_cln.4489.faa.msa.tree.	C. sinensis
F18208_CLN_G1	csin103564, csin103563	4492_cln.4492.faa	4492_cln.4492.faa.msa	4492_cln.4492.faa.msa.tree.	C. sinensis
F18666_CLN_G1	csin105670, csin110557	4557_cln.4557.faa	4557_cln.4557.faa.msa	4557_cln.4557.faa.msa.tree.	C. sinensis
F21619_CLN_G1	csin111091, csin101805	4924_cln.4924.faa	4924_cln.4924.faa.msa	4924_cln.4924.faa.msa.tree.	C. sinensis
F22178_CLN_G1	csin113590, csin105663	5149_cln.5149.faa	5149_cln.5149.faa.msa	5149_cln.5149.faa.msa.tree.	C. sinensis
F22263_CLN_G1	csin107386, csin107505, csin104476	5169_cln.5169.faa	5169_cln.5169.faa.msa	5169_cln.5169.faa.msa.tree.	C. sinensis
F22361_CLN_G1	csin113340, csin113180	520_cln.520.faa	520_cln.520.faa.msa	520_cln.520.faa.msa.tree.	C. sinensis
F22402_CLN_G1	csin100749, csin102455, csin106651, csin109221	525_cln.525.faa	525_cln.525.faa.msa	525_cln.525.faa.msa.tree.	C. sinensis
F22418_CLN_G1	csin106779, csin106395	5271_cln.5271.faa	5271_cln.5271.faa.msa	5271_cln.5271.faa.msa.tree.	C. sinensis
F22422_CLN_G1	csin112956, csin104903, csin106913	5282_cln.5282.faa	5282_cln.5282.faa.msa	5282_cln.5282.faa.msa.tree.	C. sinensis
F22444_CLN_G1	csin101434, csin101352, csin106044	5322_cln.5322.faa	5322_cln.5322.faa.msa	5322_cln.5322.faa.msa.tree.	C. sinensis
F22530_CLN_G1	csin104639, csin100847, csin113172, csin109471	539_cln.539.faa	539_cln.539.faa.msa	539_cln.539.faa.msa.contree.tree.	C. sinensis
F22531_CLN_G1	csin109066, csin101533, csin110763, csin105441	5393_cln.5393.faa	5393_cln.5393.faa.msa	5393_cln.5393.faa.msa.tree.	C. sinensis
F22538_CLN_G1	csin103278, csin105024	5399_cln.5399.faa	5399_cln.5399.faa.msa	5399_cln.5399.faa.msa.tree.	C. sinensis
F22541_CLN_G1	csin112224, csin102447	5402_cln.5402.faa	5402_cln.5402.faa.msa	5402_cln.5402.faa.msa.contree.tree.	C. sinensis
F22604_CLN_G1	csin113219, csin109164, csin106457	5485_cln.5485.faa	5485_cln.5485.faa.msa	5485_cln.5485.faa.msa.contree.tree.	C. sinensis
F22666_CLN_G1	csin106711, csin111392, csin113618, csin112634	580_cln.580.faa	580_cln.580.faa.msa	580_cln.580.faa.msa.tree.	C. sinensis
F22671_CLN_G1	csin109800, csin111426	5820_cln.5820.faa	5820_cln.5820.faa.msa	5820_cln.5820.faa.msa.tree.	C. sinensis
F22673_CLN_G1	csin101657, csin106707	5844_cln.5844.faa	5844_cln.5844.faa.msa	5844_cln.5844.faa.msa.tree.	C. sinensis
F22675_CLN_G1	csin103450, csin102575	5882_cln.5882.faa	5882_cln.5882.faa.msa	5882_cln.5882.faa.msa.tree.	C. sinensis
F22678_CLN_G1	csin110038, csin112543, csin101803, csin113580, csin111293	5937_cln.5937.faa	5937_cln.5937.faa.msa	5937_cln.5937.faa.msa.tree.	C. sinensis
F22683_CLN_G1	csin104113, csin112049, csin106829, csin110730, csin105355, csin107008	60_cln.60.faa	60_cln.60.faa.msa	60_cln.60.faa.msa.tree.	C. sinensis
F22687_CLN_G1	csin108201, csin108279, csin112837	6061_cln.6061.faa	6061_cln.6061.faa.msa	6061_cln.6061.faa.msa.tree.	C. sinensis
F22701_CLN_G1	csin100592, csin104722, csin106239, csin104059	6246_cln.6246.faa	6246_cln.6246.faa.msa	6246_cln.6246.faa.msa.tree.	C. sinensis
F22703_CLN_G1	csin105274, csin105153, csin102952	6271_cln.6271.faa	6271_cln.6271.faa.msa	6271_cln.6271.faa.msa.tree.	C. sinensis
F22707_CLN_G1	csin100848, csin109411	6320_cln.6320.faa	6320_cln.6320.faa.msa	6320_cln.6320.faa.msa.tree.	C. sinensis
F22708_CLN_G1	csin109016, csin102238	6338_cln.6338.faa	6338_cln.6338.faa.msa	6338_cln.6338.faa.msa.tree.	C. sinensis
F22719_CLN_G1	csin108047, csin108045, csin108046	6486_cln.6486.faa	6486_cln.6486.faa.msa	6486_cln.6486.faa.msa.contree.tree.	C. sinensis
F22720_CLN_G1	csin110315, csin108355	650_cln.650.faa	650_cln.650.faa.msa	650_cln.650.faa.msa.tree.	C. sinensis
F22813_CLN_G1	csin106507, csin107672, csin107780, csin100444, csin110128	667_cln.667.faa	667_cln.667.faa.msa	667_cln.667.faa.msa.tree.	C. sinensis
F22850_CLN_G1	csin102098, csin102095	6725_cln.6725.faa	6725_cln.6725.faa.msa	6725_cln.6725.faa.msa.tree.	C. sinensis
F22855_CLN_G1	csin105981, csin110705	6732_cln.6732.faa	6732_cln.6732.faa.msa	6732_cln.6732.faa.msa.tree.	C. sinensis
F22937_CLN_G1	csin101455, csin112507, csin104383	700_cln.700.faa	700_cln.700.faa.msa	700_cln.700.faa.msa.tree.	C. sinensis
F22996_CLN_G1	csin108719, csin112258	7261_cln.7261.faa	7261_cln.7261.faa.msa	7261_cln.7261.faa.msa.tree.	C. sinensis
F23034_CLN_G1	csin103599, csin110902, csin112643	7448_cln.7448.faa	7448_cln.7448.faa.msa	7448_cln.7448.faa.msa.tree.	C. sinensis
F23035_CLN_G1	csin108687, csin108647	746_cln.746.faa	746_cln.746.faa.msa	746_cln.746.faa.msa.contree.tree.	C. sinensis
F23038_CLN_G1	csin107641, csin107642	7463_cln.7463.faa	7463_cln.7463.faa.msa	7463_cln.7463.faa.msa.tree.	C. sinensis
F23043_CLN_G1	csin100471, csin110795, csin103139, csin107121, csin112687, csin113546, csin113352, csin108020	7490_cln.7490.faa	7490_cln.7490.faa.msa	7490_cln.7490.faa.msa.tree.	C. sinensis
F23055_CLN_G1	csin111092, csin111093, csin113389, csin113008	7553_cln.7553.faa	7553_cln.7553.faa.msa	7553_cln.7553.faa.msa.contree.tree.	C. sinensis
F23056_CLN_G1	csin110322, csin113294	7556_cln.7556.faa	7556_cln.7556.faa.msa	7556_cln.7556.faa.msa.contree.tree.	C. sinensis
F23092_CLN_G1	csin101152, csin109282, csin109026, csin113117, csin105568, csin102148, csin113159, csin104422, csin106866, csin108796, csin105573, csin108409, csin100936, csin107342, csin102123	774_cln.774.faa	774_cln.774.faa.msa	774_cln.774.faa.msa.tree.	C. sinensis
F23102_CLN_G1	csin113311, csin111081, csin113275	78_cln.78.faa	78_cln.78.faa.msa	78_cln.78.faa.msa.contree.tree.	C. sinensis
F23143_CLN_G1	csin105559, csin106485	8016_cln.8016.faa	8016_cln.8016.faa.msa	8016_cln.8016.faa.msa.contree.tree.	C. sinensis
F23148_CLN_G1	csin111834, csin113315	8033_cln.8033.faa	8033_cln.8033.faa.msa	8033_cln.8033.faa.msa.contree.tree.	C. sinensis
F23181_CLN_G1	csin110914, csin110340, csin106918	8197_cln.8197.faa	8197_cln.8197.faa.msa	8197_cln.8197.faa.msa.contree.tree.	C. sinensis
F23198_CLN_G1	csin112438, csin112834	8303_cln.8303.faa	8303_cln.8303.faa.msa	8303_cln.8303.faa.msa.tree.	C. sinensis
F23211_CLN_G1	csin105554, csin100154, csin102867, csin109364, csin107500, csin105253, csin112388, csin100953, csin102065, csin105583, csin112178	844_cln.844.faa	844_cln.844.faa.msa	844_cln.844.faa.msa.tree.	C. sinensis
F23231_CLN_G1	csin112434, csin112435	84634_Fsc.87.faa	84634_Fsc.87.faa.msa	84634_Fsc.87.faa.msa.contree.tree.	C. sinensis
F23235_CLN_G1	csin105676, csin105677	84648_Fsc.101.faa	84648_Fsc.101.faa.msa	84648_Fsc.101.faa.msa.contree.tree.	C. sinensis
F23372_CLN_G1	csin102391, csin109602	8533_cln.8533.faa	8533_cln.8533.faa.msa	8533_cln.8533.faa.msa.tree.	C. sinensis
F23469_CLN_G1	csin101147, csin107280, csin104756	8590_cln.8590.faa	8590_cln.8590.faa.msa	8590_cln.8590.faa.msa.tree.	C. sinensis
F23501_CLN_G1	csin110186, csin110378	8607_cln.8607.faa	8607_cln.8607.faa.msa	8607_cln.8607.faa.msa.tree.	C. sinensis
F23623_CLN_G1	csin107798, csin107797	86659_Fsc.2112.faa	86659_Fsc.2112.faa.msa	86659_Fsc.2112.faa.msa.contree.tree.	C. sinensis
F23801_CLN_G1	csin102414, csin102413	87688_Fsc.3141.faa	87688_Fsc.3141.faa.msa	87688_Fsc.3141.faa.msa.contree.tree.	C. sinensis
F23828_CLN_G1	csin110275, csin109382	8780_cln.8780.faa	8780_cln.8780.faa.msa	8780_cln.8780.faa.msa.tree.	C. sinensis
F23911_CLN_G1	csin103408, csin103407	88229_Fsc.3682.faa	88229_Fsc.3682.faa.msa	88229_Fsc.3682.faa.msa.contree.tree.	C. sinensis
F24019_CLN_G1	csin110947, csin105509	8887_cln.8887.faa	8887_cln.8887.faa.msa	8887_cln.8887.faa.msa.tree.	C. sinensis
F24144_CLN_G1	csin103213, csin100439, csin106229, csin113101, csin110293, csin109948, csin107272, csin108967	896_cln.896.faa	896_cln.896.faa.msa	896_cln.896.faa.msa.tree.	C. sinensis
F24162_CLN_G1	csin100669, csin102540, csin107842, csin100155, csin102357, csin108053	897_cln.897.faa	897_cln.897.faa.msa	897_cln.897.faa.msa.tree.	C. sinensis
F24234_CLN_G1	csin103394, csin108887	9017_cln.9017.faa	9017_cln.9017.faa.msa	9017_cln.9017.faa.msa.tree.	C. sinensis
F24270_CLN_G1	csin112506, csin112510	9039_cln.9039.faa	9039_cln.9039.faa.msa	9039_cln.9039.faa.msa.tree.	C. sinensis
F24282_CLN_G1	csin111084, csin112707	9044_cln.9044.faa	9044_cln.9044.faa.msa	9044_cln.9044.faa.msa.tree.	C. sinensis
F24333_CLN_G1	csin110073, csin106514	908_cln.908.faa	908_cln.908.faa.msa	908_cln.908.faa.msa.tree.	C. sinensis
F24408_CLN_G1	csin104260, csin104220	91280_Fsc.6733.faa	91280_Fsc.6733.faa.msa	91280_Fsc.6733.faa.msa.contree.tree.	C. sinensis
F24491_CLN_G1	csin102808, csin105780	9186_cln.9186.faa	9186_cln.9186.faa.msa	9186_cln.9186.faa.msa.tree.	C. sinensis
F24495_CLN_G1	csin102173, csin102171	91876_Fsc.7329.faa	91876_Fsc.7329.faa.msa	91876_Fsc.7329.faa.msa.contree.tree.	C. sinensis
F24584_CLN_G1	csin107575, csin107574	92392_Fsc.7845.faa	92392_Fsc.7845.faa.msa	92392_Fsc.7845.faa.msa.contree.tree.	C. sinensis
F24630_CLN_G1	csin103565, csin103566	92647_Fsc.8100.faa	92647_Fsc.8100.faa.msa	92647_Fsc.8100.faa.msa.contree.tree.	C. sinensis
F24640_CLN_G1	csin109410, csin110174, csin111549	927_cln.927.faa	927_cln.927.faa.msa	927_cln.927.faa.msa.tree.	C. sinensis
F24711_CLN_G1	csin111250, csin111249	93174_Fsc.8627.faa	93174_Fsc.8627.faa.msa	93174_Fsc.8627.faa.msa.contree.tree.	C. sinensis
F24752_CLN_G1	csin104401, csin103068	93452_Fsc.8905.faa	93452_Fsc.8905.faa.msa	93452_Fsc.8905.faa.msa.contree.tree.	C. sinensis
F24855_CLN_G1	csin103520, csin106266, csin106600	9521_cln.9521.faa	9521_cln.9521.faa.msa	9521_cln.9521.faa.msa.tree.	C. sinensis
F513_DPY_G1	DILT_0000001101, DILT_0000216001	13646_dpy.12.faa	13646_dpy.12.faa.msa	13646_dpy.12.faa.msa.tree.	D. latum
F525_DPY_G1	DILT_0001429901, DILT_0000009001	13725_dpy.91.faa	13725_dpy.91.faa.msa	13725_dpy.91.faa.msa.tree.	D. latum
F531_DPY_G1	DILT_0000079601, DILT_0001557101, DILT_0001913301, DILT_0000009601	13731_dpy.97.faa	13731_dpy.97.faa.msa	13731_dpy.97.faa.msa.tree.	D. latum
F535_DPY_G1	DILT_0000009901, DILT_0000906201	13734_dpy.100.faa	13734_dpy.100.faa.msa	13734_dpy.100.faa.msa.tree.	D. latum
F537_DPY_G1	DILT_0000010301, DILT_0001749701, DILT_0001609201	13738_dpy.104.faa	13738_dpy.104.faa.msa	13738_dpy.104.faa.msa.tree.	D. latum
F540_DPY_G1	DILT_0000011501, DILT_0000194901	13750_dpy.116.faa	13750_dpy.116.faa.msa	13750_dpy.116.faa.msa.tree.	D. latum
F541_DPY_G1	DILT_0000013001, DILT_0000171701	13765_dpy.131.faa	13765_dpy.131.faa.msa	13765_dpy.131.faa.msa.tree.	D. latum
F557_DPY_G1	DILT_0000761501, DILT_0001993601, DILT_0000019801, DILT_0001783801	13833_dpy.199.faa	13833_dpy.199.faa.msa	13833_dpy.199.faa.msa.tree.	D. latum
F565_DPY_G1	DILT_0000151301, DILT_0000023101	13866_dpy.232.faa	13866_dpy.232.faa.msa	13866_dpy.232.faa.msa.tree.	D. latum
F585_DPY_G1	DILT_0000029901, DILT_0000092501, DILT_0000401301, DILT_0001416001, DILT_0001352101, DILT_0001182701, DILT_0001396901	13934_dpy.300.faa	13934_dpy.300.faa.msa	13934_dpy.300.faa.msa.tree.	D. latum
F588_DPY_G1	DILT_0000030301, DILT_0001923801, DILT_0000898701, DILT_0000980401, DILT_0000882001	13938_dpy.304.faa	13938_dpy.304.faa.msa	13938_dpy.304.faa.msa.tree.	D. latum
F594_DPY_G1	DILT_0001988601, DILT_0000032901	13963_dpy.329.faa	13963_dpy.329.faa.msa	13963_dpy.329.faa.msa.tree.	D. latum
F595_DPY_G1	DILT_0000033301, DILT_0000341301	13967_dpy.333.faa	13967_dpy.333.faa.msa	13967_dpy.333.faa.msa.tree.	D. latum
F596_DPY_G1	DILT_0000034001, DILT_0000606301	13974_dpy.340.faa	13974_dpy.340.faa.msa	13974_dpy.340.faa.msa.contree.tree.	D. latum
F599_DPY_G1	DILT_0001438801, DILT_0000034401	13978_dpy.344.faa	13978_dpy.344.faa.msa	13978_dpy.344.faa.msa.tree.	D. latum
F600_DPY_G1	DILT_0000546501, DILT_0000035101	13985_dpy.351.faa	13985_dpy.351.faa.msa	13985_dpy.351.faa.msa.tree.	D. latum
F604_DPY_G1	DILT_0000036701, DILT_0000037801	14001_dpy.367.faa	14001_dpy.367.faa.msa	14001_dpy.367.faa.msa.tree.	D. latum
F619_DPY_G1	DILT_0000040501, DILT_0001089801	14039_dpy.405.faa	14039_dpy.405.faa.msa	14039_dpy.405.faa.msa.contree.tree.	D. latum
F623_DPY_G1	DILT_0001615701, DILT_0000041701, DILT_0001918001, DILT_0000311201	14051_dpy.417.faa	14051_dpy.417.faa.msa	14051_dpy.417.faa.msa.tree.	D. latum
F695_DPY_G1	DILT_0000054101, DILT_0001134901	14175_dpy.541.faa	14175_dpy.541.faa.msa	14175_dpy.541.faa.msa.contree.tree.	D. latum
F720_DPY_G1	DILT_0000057801, DILT_0000136501	14212_dpy.578.faa	14212_dpy.578.faa.msa	14212_dpy.578.faa.msa.tree.	D. latum
F756_DPY_G1	DILT_0000065901, DILT_0001722701	14293_dpy.659.faa	14293_dpy.659.faa.msa	14293_dpy.659.faa.msa.tree.	D. latum
F757_DPY_G1	DILT_0001362101, DILT_0000066001	14294_dpy.660.faa	14294_dpy.660.faa.msa	14294_dpy.660.faa.msa.tree.	D. latum
F766_DPY_G1	DILT_0000570401, DILT_0000067601	14309_dpy.675.faa	14309_dpy.675.faa.msa	14309_dpy.675.faa.msa.tree.	D. latum
F768_DPY_G1	DILT_0000069301, DILT_0000334001	14326_dpy.692.faa	14326_dpy.692.faa.msa	14326_dpy.692.faa.msa.contree.tree.	D. latum
