Family	Model	Degrees of freedom	LnL	# sites (BEB pp > 0.95)	# sites (BEB pp > 0.99)	dN	dS	dN/dS	Num. sites (BEB pp > 0.95)	Num. sites (BEB pp > 0.99)
F121974_TREG_G1	M2	7.0	-7151.188368	0	0	0.0	0.0	7.8404	5.0	1.0
F121974_TREG_G1	M1	5.0	-7195.290233	0	0	0.0016	0.0072	0.2264		
F85516_SMED_G1	M2	7.0	-853.89432	0	0	0.0	0.0	1.007	0.0	0.0
F85516_SMED_G1	M1	5.0	-853.894356	0	0	0.0064	0.0064	1.0		
F71368_SHAE_G1	M1	5.0	-2035.776729	0	0	2.2658	102.9831	0.022		
F71368_SHAE_G1	M2	7.0	-2035.958069	0	0	3.6089	3.3844	1.0663	0.0	0.0
F29026_MLIG_G1	M1	6.0	-2514.790969	0	0	0.0	0.0	0.1358		
F29026_MLIG_G1	M2	8.0	-2514.790968	0	0	0.0	0.0	0.1358	0.0	0.0
F37562_MLIG_G1	M1	5.0	-1762.478216	0	0	0.9828	1.2704	0.7736		
F37562_MLIG_G1	M2	7.0	-1751.433684	0	0	24.2511	0.1957	123.9341	112.0	57.0
F103102_MLIG_G1	M1	5.0	-737.919499	0	0	2.8925	2.8925	1.0		
F103102_MLIG_G1	M2	7.0	-736.859215	0	0	16.445	17.7397	0.927	0.0	0.0
F33439_MLIG_G1	M1	5.0	-2964.337176	0	0	0.0017	0.032	0.0532		
F33439_MLIG_G1	M2	7.0	-2962.165598	0	0	0.0049	0.0343	0.1424	0.0	0.0
F104741_MLIG_G1	M1	5.0	-195.18666	0	0	0.014	0.0216	0.6474		
F104741_MLIG_G1	M2	7.0	-195.18666	0	0	0.0172	0.0266	0.6474	0.0	0.0
F18992_SMED_G1	M1	5.0	-439.74932	0	0	0.0	0.0099	0.0		
F18992_SMED_G1	M2	7.0	-439.749296	0	0	0.0	0.0099	0.0	0.0	0.0
F94384_MLIG_G1	M1	7.0	-1052.850607	0	0	0.0	0.0	0.1627		
F94384_MLIG_G1	M2	9.0	-1052.850607	0	0	0.0	0.0	0.1627	0.0	0.0
F87818_SJAP_G1	M2	7.0	-580.001939	0	0	0.0	0.0	0.7752	0.0	0.0
F87818_SJAP_G1	M1	5.0	-580.001863	0	0	0.0	0.0	0.0494		
F51725_SHAE_G1	M1	10.0	-361.258514	0	0	0.0	0.0	0.4389		
F51725_SHAE_G1	M2	12.0	-361.258513	0	0	0.0	0.0	0.4389	0.0	0.0
F19661_MLIG_G1	M2	8.0	-502.479064	0	0	0.0	0.0	16.7968	2.0	2.0
F19661_MLIG_G1	M1	6.0	-518.85666	0	0	0.0	0.0	0.1333		
F59624_MLIG_G1	M1	6.0	-1404.65324	0	0	0.0003	0.0144	0.0214		
F59624_MLIG_G1	M2	8.0	-1403.702788	0	0	0.0039	0.0249	0.158	0.0	0.0
F11847_MLIG_G1	M1	6.0	-1434.470004	0	0	0.0	0.0063	0.0		
F11847_MLIG_G1	M2	8.0	-1434.469935	0	0	0.0	0.0063	0.0	0.0	0.0
F2485_MLIG_G1	M2	8.0	-5278.196603	0	0	0.0	0.0	5.1693	148.0	1.0
F2485_MLIG_G1	M1	6.0	-5308.785137	0	0	0.4933	0.6766	0.7291		
F27672_TREG_G1	M2	7.0	-1675.318749	0	0	0.0	0.0	0.9986	0.0	0.0
F27672_TREG_G1	M1	5.0	-1675.318717	0	0	0.0	0.0	0.0		
F65372_MLIG_G1	M2	7.0	-2050.797489	0	0	0.0	0.0	419.0115	0.0	0.0
F65372_MLIG_G1	M1	5.0	-2050.797594	0	0	0.0	0.0	1.0		
F59708_MLIG_G1	M2	8.0	-684.126286	0	0	0.0	0.0058	0.0	0.0	0.0
F59708_MLIG_G1	M1	6.0	-684.126341	0	0	0.0	0.0058	0.0		
F39125_CSIN_G1	M1	5.0	-125.949922	0	0	6.5646	11.9419	0.5497		
F39125_CSIN_G1	M2	7.0	-125.949299	0	0	5.5148	5.5145	1.0001	0.0	0.0
F129814_SMED_G1	M1	5.0	-562.32524	0	0	0.0	0.0007	0.0		
F129814_SMED_G1	M2	7.0	-562.325527	0	0	0.0	0.0	0.0001	0.0	0.0
F64552_MLIG_G1	M1	14.0	-331.621342	0	0	0.0	0.0	0.2247		
F64552_MLIG_G1	M2	16.0	-331.621342	0	0	0.0	0.0	0.2247	0.0	0.0
F102026_MLIG_G1	M1	5.0	-3585.27675	0	0	0.0013	0.0169	0.0742		
F102026_MLIG_G1	M2	7.0	-3585.278644	0	0	0.0015	0.0207	0.0745	0.0	0.0
F70523_MLIG_G1	M2	9.0	-743.276211	0	0	0.0	0.0	5.5486	17.0	1.0
F70523_MLIG_G1	M1	7.0	-744.423535	0	0	0.0	0.0	0.9295		
F46321_MLIG_G1	M2	7.0	-1156.126799	0	0	0.0066	0.0292	0.2272	0.0	0.0
F46321_MLIG_G1	M1	5.0	-1156.126803	0	0	0.0052	0.0227	0.2272		
F72737_MLIG_G1	M1	6.0	-624.721191	0	0	0.0	0.0	0.7434		
F72737_MLIG_G1	M2	8.0	-624.721189	0	0	0.0	0.0	0.9887	0.0	0.0
F102979_MLIG_G1	M2	8.0	-590.389088	0	0	0.0	0.0	0.0	0.0	0.0
F102979_MLIG_G1	M1	6.0	-590.389318	0	0	0.0	0.0	0.0		
F120346_MLIG_G1	M1	6.0	-1192.246303	0	0	0.0	0.0031	0.0		
F120346_MLIG_G1	M2	8.0	-1192.246269	0	0	0.0	0.0031	0.0	0.0	0.0
F5400_MLIG_G1	M2	7.0	-3754.126791	0	0	0.0	0.0	0.5569	0.0	0.0
F5400_MLIG_G1	M1	5.0	-3754.126791	0	0	0.0066	0.0118	0.5569		
F19087_MCOR_G1	M1	16.0	-346.236063	0	0	0.0	0.0	1.0		
F19087_MCOR_G1	M2	18.0	-346.235903	0	0	8.5267	8.5267	1.0	0.0	0.0
F91150_MLIG_G1	M1	5.0	-5385.57786	0	0	0.002	0.0161	0.1224		
F91150_MLIG_G1	M2	7.0	-5385.577855	0	0	0.0	0.0	0.1224	0.0	0.0
F100828_OVIV_G1	M2	9.0	-1243.693568	0	0	0.2103	0.1345	1.5634	8.0	3.0
F100828_OVIV_G1	M1	7.0	-1255.134536	0	0	0.1008	0.2432	0.4143		
F10256_HMIC_G1	M2	7.0	-1944.998505	0	0	0.0	0.0	0.0	0.0	0.0
F10256_HMIC_G1	M1	5.0	-1944.998684	0	0	0.0	0.0	0.0173		
F14252_MLIG_G1	M2	7.0	-1205.983034	0	0	0.0	0.0	0.3427	0.0	0.0
F14252_MLIG_G1	M1	5.0	-1206.829611	0	0	0.0144	0.0605	0.2379		
F2712_MLIG_G1	M2	7.0	-992.353988	0	0	13.4394	13.4394	1.0	0.0	0.0
F2712_MLIG_G1	M1	5.0	-992.353988	0	0	16.6533	16.6533	1.0		
F38217_MLIG_G1	M1	5.0	-1490.69374	0	0	0.0056	0.0232	0.2399		
F38217_MLIG_G1	M2	7.0	-1490.693736	0	0	0.0084	0.0352	0.2399	0.0	0.0
F97422_MLIG_G1	M1	6.0	-1124.682372	0	0	0.0	0.0	0.0674		
F97422_MLIG_G1	M2	8.0	-1124.165133	0	0	0.0	0.0	0.1067	0.0	0.0
F73930_MLIG_G1	M1	6.0	-1819.850541	0	0	0.0	0.0	0.2976		
F73930_MLIG_G1	M2	8.0	-1814.717636	0	0	0.0	0.0	0.7131	0.0	0.0
F115481_MLIG_G1	M2	7.0	-1040.558292	0	0	18.1624	12.4574	1.458	0.0	0.0
F115481_MLIG_G1	M1	5.0	-1040.557393	0	0	16.4141	17.1644	0.9563		
F813_MLIG_G1	M1	5.0	-538.756504	0	0	0.0	0.0	0.0		
F813_MLIG_G1	M2	7.0	-538.756459	0	0	0.0	0.0173	0.0	0.0	0.0
F77693_MLIG_G1	M2	8.0	-641.40421	0	0	0.0	0.0	0.5938	0.0	0.0
F77693_MLIG_G1	M1	6.0	-641.40421	0	0	0.0	0.0	0.5939		
F99856_SMED_G1	M2	7.0	-779.336226	0	0	1.4845	7.174	0.2069	0.0	0.0
F99856_SMED_G1	M1	5.0	-779.336226	0	0	1.4823	7.1632	0.2069		
F127260_MLIG_G1	M2	8.0	-1228.309623	0	0	0.0009	0.0249	0.0362	0.0	0.0
F127260_MLIG_G1	M1	6.0	-1228.309629	0	0	0.0009	0.0249	0.0362		
F112966_MLIG_G1	M2	8.0	-2498.646087	0	0	0.0	0.0	0.0736	0.0	0.0
F112966_MLIG_G1	M1	6.0	-2498.646177	0	0	0.0	0.0	0.0736		
F1208_MLIG_G1	M2	20.0	-1270.382112	0	0	0.0	0.0	0.001	0.0	0.0
F1208_MLIG_G1	M1	18.0	-1270.383143	0	0	0.0	0.0	0.001		
F118662_SMED_G1	M2	7.0	-956.286371	0	0	0.9826	39.8856	0.0246	0.0	0.0
F118662_SMED_G1	M1	5.0	-955.909017	0	0	14.5363	22.6121	0.6429		
F90194_MLIG_G1	M1	6.0	-3234.46528	0	0	0.0053	0.0179	0.2938		
F90194_MLIG_G1	M2	8.0	-3234.465276	0	0	0.0053	0.0179	0.2937	0.0	0.0
F55631_MLIG_G1	M1	5.0	-3777.033593	0	0	1.5143	1.5143	1.0		
F55631_MLIG_G1	M2	7.0	-3776.585007	0	0	19.364	3.0956	6.2554	0.0	0.0
F42420_SMAN_G1	M1	5.0	-404.106965	0	0	0.0	0.0	0.9993		
F42420_SMAN_G1	M2	7.0	-404.106998	0	0	0.0	0.0	1.155	0.0	0.0
F43791_HMIC_G1	M2	7.0	-807.739499	0	0	0.0259	0.0261	0.9928	0.0	0.0
F43791_HMIC_G1	M1	5.0	-807.877722	0	0	0.0209	0.024	0.8701		
F64873_TSAG_G1	M1	5.0	-464.545325	0	0	0.0	0.0	0.0567		
F64873_TSAG_G1	M2	7.0	-464.545321	0	0	0.0	0.0	0.0006	0.0	0.0
F63122_MLIG_G1	M2	8.0	-498.141558	0	0	0.0	0.0	0.7148	0.0	0.0
F63122_MLIG_G1	M1	6.0	-498.141558	0	0	0.0	0.0	0.7148		
F10995_TREG_G1	M1	5.0	-2783.201881	0	0	0.0	0.02	0.0		
F10995_TREG_G1	M2	7.0	-2783.201565	0	0	0.0	0.0	0.0	0.0	0.0
F107291_MLIG_G1	M1	5.0	-646.131366	0	0	0.0	0.0	0.0		
F107291_MLIG_G1	M2	7.0	-646.131574	0	0	0.0	0.0	0.7624	0.0	0.0
F75453_FHEP_G1	M1	5.0	-1659.994907	0	0	0.0402	0.0589	0.6826		
F75453_FHEP_G1	M2	7.0	-1659.994906	0	0	0.0402	0.0589	0.6826	0.0	0.0
F47208_EMUL_G1	M2	8.0	-303.07752	0	0	0.0	0.0	0.0	0.0	0.0
F47208_EMUL_G1	M1	6.0	-303.077753	0	0	0.0	0.0	0.7434		
F111793_MLIG_G1	M2	8.0	-783.435227	0	0	0.0053	0.0382	0.1382	0.0	0.0
F111793_MLIG_G1	M1	6.0	-783.435268	0	0	0.0053	0.0382	0.1382		
F114603_HMIC_G1	M1	5.0	-562.677767	0	0	0.0	0.0	0.0		
F114603_HMIC_G1	M2	7.0	-562.677767	0	0	0.0	0.0	0.0	0.0	0.0
F21419_MLIG_G1	M1	5.0	-1004.643958	0	0	0.0048	0.0139	0.3441		
F21419_MLIG_G1	M2	7.0	-1004.643957	0	0	0.0	0.0	0.3441	0.0	0.0
F42773_MLIG_G1	M2	8.0	-941.178795	0	0	0.0	0.0	112.7761	0.0	0.0
F42773_MLIG_G1	M1	6.0	-941.326901	0	0	0.0	0.0	1.0		
F111255_MLIG_G1	M1	12.0	-305.83982	0	0	0.0	0.0	0.5174		
F111255_MLIG_G1	M2	14.0	-304.518064	0	0	0.0	0.0	19.227	0.0	0.0
F120349_SHAE_G1	M1	5.0	-1742.713585	0	0	0.0	0.0	0.12		
F120349_SHAE_G1	M2	7.0	-1742.71258	0	0	0.0	0.0	0.12	0.0	0.0
F101246_MLIG_G1	M1	6.0	-2623.750325	0	0	0.0	0.0	0.7058		
F101246_MLIG_G1	M2	8.0	-2619.671626	0	0	0.0	0.0	2.0659	19.0	0.0
F29768_MLIG_G1	M1	6.0	-1051.59131	0	0	0.0085	0.0568	0.1494		
F29768_MLIG_G1	M2	8.0	-1051.591297	0	0	0.0085	0.0568	0.1494	0.0	0.0
F130228_MLIG_G1	M1	14.0	-877.58951	0	0	0.0	0.0	0.0345		
F130228_MLIG_G1	M2	16.0	-877.589452	0	0	0.0	0.0	0.0345	0.0	0.0
F39252_SJAP_G1	M2	7.0	-520.354033	0	0	0.0	0.0	0.0	0.0	0.0
F39252_SJAP_G1	M1	5.0	-520.354077	0	0	0.0	0.0	0.0819		
F60422_ECAN_G1	M2	7.0	-371.175788	0	0	0.0	0.0	1.0823	0.0	0.0
F60422_ECAN_G1	M1	5.0	-371.175795	0	0	0.0	0.0	0.3494		
F32059_TREG_G1	M2	16.0	-845.430523	0	0	0.0	0.0	9.666	13.0	12.0
F32059_TREG_G1	M1	14.0	-866.032829	0	0	0.0	0.0	0.5953		
F130757_MLIG_G1	M1	5.0	-924.54738	0	0	0.0031	0.012	0.2584		
F130757_MLIG_G1	M2	7.0	-924.547379	0	0	0.0065	0.0251	0.2584	0.0	0.0
F59925_MLIG_G1	M1	5.0	-1073.231198	0	0	0.0	0.0	1.0		
F59925_MLIG_G1	M2	7.0	-1073.231129	0	0	0.0	0.0	13.4452	0.0	0.0
F29843_MLIG_G1	M1	5.0	-1211.554734	0	0	0.0	0.0	0.0739		
F29843_MLIG_G1	M2	7.0	-1211.557457	0	0	0.0	0.0	0.0738	0.0	0.0
F127841_SMAR_G1	M1	6.0	-1528.783038	0	0	0.0144	0.0272	0.5294		
F127841_SMAR_G1	M2	8.0	-1528.783037	0	0	0.0144	0.0272	0.5294	0.0	0.0
F44209_MLIG_G1	M2	9.0	-1552.81687	0	0	0.0	0.0	0.0622	0.0	0.0
F44209_MLIG_G1	M1	7.0	-1554.841648	0	0	0.0	0.0	0.0233		
F44606_SMED_G1	M2	7.0	-2199.147226	0	0	8.7745	41.9659	0.2091	0.0	0.0
F44606_SMED_G1	M1	5.0	-2199.306042	0	0	13.4595	36.1166	0.3727		
F34378_SMED_G1	M1	5.0	-315.98618	0	0	0.0025	0.0025	1.0		
F34378_SMED_G1	M2	7.0	-315.547341	0	0	0.0	0.0	999.0	0.0	0.0
F4415_MLIG_G1	M2	8.0	-789.811933	0	0	0.0	0.0	91.9428	0.0	0.0
F4415_MLIG_G1	M1	6.0	-789.812025	0	0	0.0	0.0	0.7434		
F118512_MLIG_G1	M1	10.0	-281.700941	0	0	0.0	0.0	0.0584		
F118512_MLIG_G1	M2	12.0	-281.70089	0	0	0.0	0.0	0.0584	0.0	0.0
F10828_MLIG_G1	M2	8.0	-785.986207	0	0	0.0	0.0	0.4063	0.0	0.0
F10828_MLIG_G1	M1	6.0	-785.986208	0	0	0.0	0.0	0.4063		
F67134_TREG_G1	M2	7.0	-1066.490621	0	0	2.3593	5.0465	0.4675	0.0	0.0
F67134_TREG_G1	M1	5.0	-1066.124146	0	0	2.6094	2.6094	1.0		
F94902_MLIG_G1	M2	9.0	-180.846261	0	0	0.0	0.0	0.8041	0.0	0.0
F94902_MLIG_G1	M1	7.0	-180.846261	0	0	0.0	0.0	0.8041		
F32595_TSAG_G1	M1	5.0	-1142.726656	0	0	0.0	0.0	0.8609		
F32595_TSAG_G1	M2	7.0	-1142.726647	0	0	0.0174	0.0202	0.8605	0.0	0.0
F65189_MLIG_G1	M2	7.0	-5016.870911	0	0	0.0	0.0	0.3196	0.0	0.0
F65189_MLIG_G1	M1	5.0	-5016.870915	0	0	0.0033	0.0103	0.3196		
F12360_SJAP_G1	M2	7.0	-642.084193	0	0	0.955	110.5058	0.0086	0.0	0.0
F12360_SJAP_G1	M1	5.0	-642.084202	0	0	0.9561	110.4993	0.0087		
F42535_MLIG_G1	M1	6.0	-1869.725688	0	0	0.0	0.0271	0.0		
F42535_MLIG_G1	M2	8.0	-1869.725423	0	0	0.0	0.0271	0.0	0.0	0.0
F117092_MLIG_G1	M2	9.0	-2371.497559	0	0	0.0	0.0	9.1808	47.0	6.0
F117092_MLIG_G1	M1	7.0	-2390.810907	0	0	0.0	0.0	0.5843		
F82796_TREG_G1	M2	7.0	-513.913216	0	0	0.0	0.0	0.884	0.0	0.0
F82796_TREG_G1	M1	5.0	-513.913197	0	0	0.0	0.0	0.0		
F6965_MLIG_G1	M1	14.0	-818.968767	0	0	0.0	0.0	0.0923		
F6965_MLIG_G1	M2	16.0	-797.675183	0	0	0.0	0.0	12.3435	5.0	2.0
F63971_MLIG_G1	M2	7.0	-1809.993253	0	0	0.0081	0.0361	0.2235	0.0	0.0
F63971_MLIG_G1	M1	5.0	-1809.993256	0	0	0.0057	0.0256	0.2235		
F63933_MLIG_G1	M2	7.0	-239.035212	0	0	0.0	0.0	1.0713	0.0	0.0
F63933_MLIG_G1	M1	5.0	-239.036774	0	0	0.0071	0.0071	1.0		
F50313_MLIG_G1	M2	8.0	-1019.420239	0	0	0.0	0.0	1.2045	0.0	0.0
F50313_MLIG_G1	M1	6.0	-1020.341444	0	0	0.0	0.0	0.8209		
F7197_TREG_G1	M2	7.0	-3285.670544	0	0	0.1325	0.5269	0.2515	0.0	0.0
F7197_TREG_G1	M1	5.0	-3285.670544	0	0	0.1325	0.5269	0.2515		
F128495_MLIG_G1	M1	5.0	-975.717533	0	0	0.0	0.0	0.3548		
F128495_MLIG_G1	M2	7.0	-972.885053	0	0	0.1602	0.0167	9.5752	0.0	0.0
F11055_MLIG_G1	M1	5.0	-1045.80893	0	0	0.0	0.0117	0.0		
F11055_MLIG_G1	M2	7.0	-1045.808872	0	0	0.0	0.0117	0.0	0.0	0.0
F108976_MLIG_G1	M1	5.0	-611.686767	0	0	0.0012	0.0073	0.1622		
F108976_MLIG_G1	M2	7.0	-611.6898	0	0	0.0051	0.0216	0.235	0.0	0.0
F74286_TREG_G1	M1	7.0	-2974.16412	0	0	0.0	0.0	0.9946		
F74286_TREG_G1	M2	9.0	-2950.346427	0	0	0.0	0.0	0.2534	0.0	0.0
F27035_MLIG_G1	M1	6.0	-570.706992	0	0	0.0	0.0	0.2092		
F27035_MLIG_G1	M2	8.0	-570.706992	0	0	0.0	0.0	0.2092	0.0	0.0
F1793_MLIG_G1	M1	6.0	-4372.765494	0	0	0.0016	0.0203	0.0798		
F1793_MLIG_G1	M2	8.0	-4372.76547	0	0	0.0016	0.0203	0.0798	0.0	0.0
F52812_MLIG_G1	M1	6.0	-1189.684129	0	0	0.0	0.0	0.4915		
F52812_MLIG_G1	M2	8.0	-1189.684128	0	0	0.0	0.0	0.4915	0.0	0.0
F17196_HDIM_G1	M2	9.0	-48.165312	0	0	0.0	0.0	0.6609	0.0	0.0
F17196_HDIM_G1	M1	7.0	-48.165313	0	0	0.0	0.0	0.6609		
F99403_MLIG_G1	M2	8.0	-1461.004453	0	0	0.0	0.0	0.9451	1.0	0.0
F99403_MLIG_G1	M1	6.0	-1469.941235	0	0	0.0	0.0	0.1697		
F127212_MLIG_G1	M2	7.0	-815.66607	0	0	0.003	0.0323	0.0922	0.0	0.0
F127212_MLIG_G1	M1	5.0	-815.666076	0	0	0.0029	0.0317	0.0922		
F96672_MLIG_G1	M2	7.0	-1538.601897	0	0	0.0029	0.0334	0.0882	0.0	0.0
F96672_MLIG_G1	M1	5.0	-1538.601899	0	0	0.0028	0.0323	0.0882		
F12418_MLIG_G1	M1	6.0	-2128.988324	0	0	0.3449	0.6171	0.5589		
F12418_MLIG_G1	M2	8.0	-1991.211249	0	0	0.0	0.0	456.8543	125.0	98.0
F5846_MLIG_G1	M1	6.0	-485.54824	0	0	0.0	0.0	0.7726		
F5846_MLIG_G1	M2	8.0	-482.404838	0	0	0.0	0.0	14.7494	20.0	11.0
F32165_MLIG_G1	M1	6.0	-496.479182	0	0	0.0014	0.02	0.0699		
F32165_MLIG_G1	M2	8.0	-496.47918	0	0	0.0014	0.02	0.0699	0.0	0.0
F113139_MLIG_G1	M1	12.0	-464.331991	0	0	0.0	0.0	0.9928		
F113139_MLIG_G1	M2	14.0	-464.640141	0	0	0.0	0.0	0.6799	0.0	0.0
F94288_MLIG_G1	M2	12.0	-2170.679155	0	0	0.0	0.0	0.1636	0.0	0.0
F94288_MLIG_G1	M1	10.0	-2170.67924	0	0	0.0	0.0	0.1636		
F41059_MLIG_G1	M2	7.0	-411.770065	0	0	0.0	0.0	999.0	0.0	0.0
F41059_MLIG_G1	M1	5.0	-412.226757	0	0	0.0034	0.0034	1.0		
F93364_MLIG_G1	M2	7.0	-2545.467134	0	0	0.0	0.0	0.1057	0.0	0.0
F93364_MLIG_G1	M1	5.0	-2545.467136	0	0	0.0013	0.0123	0.1057		
F77895_TREG_G1	M2	8.0	-1545.777142	0	0	0.0	0.0	0.331	0.0	0.0
F77895_TREG_G1	M1	6.0	-1545.775378	0	0	0.0	0.0	0.3284		
F61031_SMED_G1	M1	5.0	-599.915491	0	0	0.002	0.0241	0.0823		
F61031_SMED_G1	M2	7.0	-599.915485	0	0	0.0027	0.0328	0.0823	0.0	0.0
F121871_SCUR_G3	M2	7.0	-3671.804182	0	0	0.0	0.0	4.2834	0.0	0.0
F121871_SCUR_G3	M1	5.0	-3675.557119	0	0	0.0039	0.0199	0.1957		
F16563_MLIG_G1	M1	7.0	-3390.744101	0	0	0.0	0.0	0.9379		
F16563_MLIG_G1	M2	9.0	-3390.744361	0	0	0.0	0.0	0.9379	0.0	0.0
F89196_SMED_G1	M2	7.0	-770.536512	0	0	16.6667	16.6667	1.0	0.0	0.0
F89196_SMED_G1	M1	5.0	-770.536507	0	0	16.6667	16.6667	1.0		
F86800_HDIM_G1	M2	8.0	-516.788587	0	0	18.6248	4.4324	4.202	13.0	0.0
F86800_HDIM_G1	M1	6.0	-517.893043	0	0	2.9126	2.9126	1.0		
F131670_MLIG_G1	M2	8.0	-736.318113	0	0	0.0	0.0095	0.0	0.0	0.0
F131670_MLIG_G1	M1	6.0	-736.318144	0	0	0.0	0.0095	0.0		
F114451_SMAT_G1	M2	7.0	-562.620929	0	0	0.0	0.0	0.0	0.0	0.0
F114451_SMAT_G1	M1	5.0	-562.621125	0	0	0.0	0.0	0.3452		
F66449_SMED_G1	M1	5.0	-454.414373	0	0	0.517	1.1019	0.4692		
F66449_SMED_G1	M2	7.0	-454.366145	0	0	5.1167	1.0014	5.1094	0.0	0.0
F11880_SMED_G1	M1	5.0	-519.188255	0	0	0.0028	0.0108	0.2607		
F11880_SMED_G1	M2	7.0	-519.188255	0	0	0.0	0.0	0.2607	0.0	0.0
F3354_MLIG_G1	M2	9.0	-1058.318173	0	0	1.496	0.9992	1.4972	0.0	0.0
F3354_MLIG_G1	M1	7.0	-1058.40058	0	0	1.8783	2.0616	0.9111		
F28773_MLIG_G1	M1	5.0	-1150.506326	0	0	0.3162	0.5054	0.6256		
F28773_MLIG_G1	M2	7.0	-1116.669919	0	0	23.912	0.0467	511.7208	62.0	43.0
F125702_MCOR_G1	M1	5.0	-995.008743	0	0	0.0184	0.0547	0.3363		
F125702_MCOR_G1	M2	7.0	-995.008735	0	0	0.0184	0.0547	0.3363	0.0	0.0
F26176_MCOR_G1	M1	6.0	-219.950151	0	0	0.0	0.0	0.4268		
F26176_MCOR_G1	M2	8.0	-217.862764	0	0	0.0	0.0	6.4898	0.0	0.0
F49186_MLIG_G1	M2	7.0	-2120.136227	0	0	0.0	0.0	105.2529	0.0	0.0
F49186_MLIG_G1	M1	5.0	-2120.339183	0	0	0.0	0.0	1.0		
F24117_TREG_G1	M1	5.0	-486.070746	0	0	0.0	0.0	0.3574		
F24117_TREG_G1	M2	7.0	-486.070698	0	0	0.0	0.0	1.1876	0.0	0.0
F100534_TASI_G1	M1	5.0	-5598.432844	0	0	0.0	0.0	0.0		
F100534_TASI_G1	M2	7.0	-5598.432433	0	0	0.0	0.0	0.0	0.0	0.0
F116095_SMED_G1	M1	16.0	-1586.716456	0	0	0.0	0.0	0.4787		
F116095_SMED_G1	M2	18.0	-1586.716456	0	0	0.0	0.0	0.4787	0.0	0.0
F115688_MLIG_G1	M1	6.0	-2124.311233	0	0	0.0052	0.0226	0.2322		
F115688_MLIG_G1	M2	8.0	-2123.283408	0	0	0.0067	0.0214	0.3109	0.0	0.0
F79140_SMED_G1	M1	5.0	-283.580348	0	0	0.0	0.0	0.0		
F79140_SMED_G1	M2	7.0	-283.580327	0	0	0.0	0.0145	0.0	0.0	0.0
F96949_MLIG_G1	M1	5.0	-588.008517	0	0	0.0	0.0	0.0		
F96949_MLIG_G1	M2	7.0	-588.008423	0	0	0.0	0.0	0.0	0.0	0.0
F64866_MLIG_G1	M2	8.0	-1186.379135	0	0	0.0	0.0	0.2467	0.0	0.0
F64866_MLIG_G1	M1	6.0	-1186.379143	0	0	0.0	0.0	0.2467		
F62499_SMAR_G1	M1	5.0	-248.487199	0	0	0.0	0.0	1.0		
F62499_SMAR_G1	M2	7.0	-248.487186	0	0	0.0	0.0	262.1621	0.0	0.0
F63320_SMED_G1	M1	5.0	-823.255438	0	0	0.0044	0.0143	0.3047		
F63320_SMED_G1	M2	7.0	-815.457757	0	0	0.0	0.0	8.4647	1.0	0.0
F7657_MLIG_G1	M1	6.0	-1258.822497	0	0	0.0	0.0	1.0		
