Family	Model	Degrees of freedom	LnL	# sites (BEB pp > 0.95)	# sites (BEB pp > 0.99)	dN	dS	dN/dS	Num. sites (BEB pp > 0.95)	Num. sites (BEB pp > 0.99)	index	Likelihood_ratio	Significativo
F64552_MLIG_G1	M2	16.0	-331.62134199999997	0	0	0.0	0.0	0.2247	0.0	0.0	14009	0.0	-
F102026_MLIG_G1	M1	5.0	-3585.27675	0	0	0.0013	0.0169	0.0742			339	-0.0037879999999859137	-
F102026_MLIG_G1	M2	7.0	-3585.278644	0	0	0.0015	0.0207	0.0745	0.0	0.0	339	-0.0037879999999859137	-
F70523_MLIG_G1	M2	9.0	-743.276211	0	0	0.0	0.0	5.5486	17.0	1.0	15034	2.294648000000052	-
F70523_MLIG_G1	M1	7.0	-744.423535	0	0	0.0	0.0	0.9295			15034	2.294648000000052	-
F46321_MLIG_G1	M2	7.0	-1156.1267990000001	0	0	0.0066	0.0292	0.2272	0.0	0.0	10998	7.99999952505459e-06	-
F46321_MLIG_G1	M1	5.0	-1156.1268029999999	0	0	0.0052	0.0227	0.2272			10998	7.99999952505459e-06	-
F72737_MLIG_G1	M1	6.0	-624.721191	0	0	0.0	0.0	0.7434			15358	3.999999989900971e-06	-
F72737_MLIG_G1	M2	8.0	-624.721189	0	0	0.0	0.0	0.9887	0.0	0.0	15358	3.999999989900971e-06	-
F102979_MLIG_G1	M2	8.0	-590.389088	0	0	0.0	0.0	0.0	0.0	0.0	503	0.00045999999997548	-
F102979_MLIG_G1	M1	6.0	-590.389318	0	0	0.0	0.0	0.0			503	0.00045999999997548	-
F120346_MLIG_G1	M1	6.0	-1192.246303	0	0	0.0	0.0031	0.0			3429	6.79999998283165e-05	-
F120346_MLIG_G1	M2	8.0	-1192.246269	0	0	0.0	0.0031	0.0	0.0	0.0	3429	6.79999998283165e-05	-
F5400_MLIG_G1	M2	7.0	-3754.1267909999997	0	0	0.0	0.0	0.5569	0.0	0.0	12285	0.0	-
F5400_MLIG_G1	M1	5.0	-3754.1267909999997	0	0	0.0066	0.0118	0.5569			12285	0.0	-
F19087_MCOR_G1	M1	16.0	-346.236063	0	0	0.0	0.0	1.0			6355	0.00031999999998788553	-
F19087_MCOR_G1	M2	18.0	-346.235903	0	0	8.5267	8.5267	1.0	0.0	0.0	6355	0.00031999999998788553	-
F91150_MLIG_G1	M1	5.0	-5385.57786	0	0	0.002	0.0161	0.1224			18429	1.0000001566368155e-05	-
F91150_MLIG_G1	M2	7.0	-5385.5778549999995	0	0	0.0	0.0	0.1224	0.0	0.0	18429	1.0000001566368155e-05	-
F100828_OVIV_G1	M2	9.0	-1243.693568	0	0	0.2103	0.1345	1.5634	8.0	3.0	154	22.881936000000223	***
F100828_OVIV_G1	M1	7.0	-1255.134536	0	0	0.1008	0.2432	0.4143			154	22.881936000000223	***
F10256_HMIC_G1	M2	7.0	-1944.998505	0	0	0.0	0.0	0.0	0.0	0.0	425	0.0003579999997782579	-
F10256_HMIC_G1	M1	5.0	-1944.998684	0	0	0.0	0.0	0.0173			425	0.0003579999997782579	-
F14252_MLIG_G1	M2	7.0	-1205.983034	0	0	0.0	0.0	0.3427	0.0	0.0	5566	1.6931539999995948	-
F14252_MLIG_G1	M1	5.0	-1206.8296109999999	0	0	0.0144	0.0605	0.2379			5566	1.6931539999995948	-
F2712_MLIG_G1	M2	7.0	-992.3539880000001	0	0	13.4394	13.4394	1.0	0.0	0.0	7782	0.0	-
F2712_MLIG_G1	M1	5.0	-992.3539880000001	0	0	16.6533	16.6533	1.0			7782	0.0	-
F38217_MLIG_G1	M1	5.0	-1490.69374	0	0	0.0056	0.0232	0.2399			9653	7.999999979801942e-06	-
F38217_MLIG_G1	M2	7.0	-1490.693736	0	0	0.0084	0.0352	0.2399	0.0	0.0	9653	7.999999979801942e-06	-
F97422_MLIG_G1	M1	6.0	-1124.682372	0	0	0.0	0.0	0.0674			19474	1.0344780000000355	-
F97422_MLIG_G1	M2	8.0	-1124.165133	0	0	0.0	0.0	0.1067	0.0	0.0	19474	1.0344780000000355	-
F73930_MLIG_G1	M1	6.0	-1819.850541	0	0	0.0	0.0	0.2976			15566	10.265810000000329	***
F73930_MLIG_G1	M2	8.0	-1814.7176359999999	0	0	0.0	0.0	0.7131	0.0	0.0	15566	10.265810000000329	***
F115481_MLIG_G1	M2	7.0	-1040.558292	0	0	18.1624	12.4574	1.4580000000000002	0.0	0.0	2584	-0.0017979999997805862	-
F115481_MLIG_G1	M1	5.0	-1040.557393	0	0	16.4141	17.1644	0.9563			2584	-0.0017979999997805862	-
F813_MLIG_G1	M1	5.0	-538.756504	0	0	0.0	0.0	0.0			16785	9.000000000014552e-05	-
F813_MLIG_G1	M2	7.0	-538.756459	0	0	0.0	0.0173	0.0	0.0	0.0	16785	9.000000000014552e-05	-
F77693_MLIG_G1	M2	8.0	-641.4042099999999	0	0	0.0	0.0	0.5938	0.0	0.0	16201	0.0	-
F77693_MLIG_G1	M1	6.0	-641.4042099999999	0	0	0.0	0.0	0.5939			16201	0.0	-
F99856_SMED_G1	M2	7.0	-779.336226	0	0	1.4845	7.1739999999999995	0.2069	0.0	0.0	19875	0.0	-
F99856_SMED_G1	M1	5.0	-779.336226	0	0	1.4823	7.1632	0.2069			19875	0.0	-
F127260_MLIG_G1	M2	8.0	-1228.309623	0	0	0.0009	0.0249	0.0362	0.0	0.0	4627	1.1999999514955562e-05	-
F127260_MLIG_G1	M1	6.0	-1228.3096289999999	0	0	0.0009	0.0249	0.0362			4627	1.1999999514955562e-05	-
F112966_MLIG_G1	M2	8.0	-2498.646087	0	0	0.0	0.0	0.0736	0.0	0.0	2176	0.00018000000000029104	-
F112966_MLIG_G1	M1	6.0	-2498.646177	0	0	0.0	0.0	0.0736			2176	0.00018000000000029104	-
F1208_MLIG_G1	M2	20.0	-1270.382112	0	0	0.0	0.0	0.001	0.0	0.0	3548	0.002062000000023545	-
F1208_MLIG_G1	M1	18.0	-1270.383143	0	0	0.0	0.0	0.001			3548	0.002062000000023545	-
F118662_SMED_G1	M2	7.0	-956.2863710000001	0	0	0.9826	39.8856	0.0246	0.0	0.0	3142	-0.7547080000003916	-
F118662_SMED_G1	M1	5.0	-955.909017	0	0	14.5363	22.6121	0.6429			3142	-0.7547080000003916	-
F90194_MLIG_G1	M1	6.0	-3234.46528	0	0	0.0053	0.0179	0.2938			18270	7.99999907030724e-06	-
F90194_MLIG_G1	M2	8.0	-3234.4652760000004	0	0	0.0053	0.0179	0.2937	0.0	0.0	18270	7.99999907030724e-06	-
F55631_MLIG_G1	M1	5.0	-3777.033593	0	0	1.5143	1.5143	1.0			12528	0.897171999999955	-
F55631_MLIG_G1	M2	7.0	-3776.585007	0	0	19.364	3.0956	6.2554	0.0	0.0	12528	0.897171999999955	-
F42420_SMAN_G1	M1	5.0	-404.106965	0	0	0.0	0.0	0.9993			10334	-6.599999994705286e-05	-
F42420_SMAN_G1	M2	7.0	-404.106998	0	0	0.0	0.0	1.155	0.0	0.0	10334	-6.599999994705286e-05	-
F43791_HMIC_G1	M2	7.0	-807.739499	0	0	0.0259	0.0261	0.9928	0.0	0.0	10543	0.27644599999985076	-
F43791_HMIC_G1	M1	5.0	-807.877722	0	0	0.0209	0.024	0.8701			10543	0.27644599999985076	-
F64873_TSAG_G1	M1	5.0	-464.545325	0	0	0.0	0.0	0.0567			14066	7.999999979801942e-06	-
F64873_TSAG_G1	M2	7.0	-464.545321	0	0	0.0	0.0	0.0006	0.0	0.0	14066	7.999999979801942e-06	-
F63122_MLIG_G1	M2	8.0	-498.14155800000003	0	0	0.0	0.0	0.7148	0.0	0.0	13773	0.0	-
F63122_MLIG_G1	M1	6.0	-498.14155800000003	0	0	0.0	0.0	0.7148			13773	0.0	-
F10995_TREG_G1	M1	5.0	-2783.201881	0	0	0.0	0.02	0.0			1645	0.0006320000002233428	-
F10995_TREG_G1	M2	7.0	-2783.201565	0	0	0.0	0.0	0.0	0.0	0.0	1645	0.0006320000002233428	-
F107291_MLIG_G1	M1	5.0	-646.1313660000001	0	0	0.0	0.0	0.0			1192	-0.00041599999985919567	-
F107291_MLIG_G1	M2	7.0	-646.131574	0	0	0.0	0.0	0.7624	0.0	0.0	1192	-0.00041599999985919567	-
F75453_FHEP_G1	M1	5.0	-1659.994907	0	0	0.0402	0.0589	0.6826			15821	1.99999976757681e-06	-
F75453_FHEP_G1	M2	7.0	-1659.9949060000001	0	0	0.0402	0.0589	0.6826	0.0	0.0	15821	1.99999976757681e-06	-
F47208_EMUL_G1	M2	8.0	-303.07752	0	0	0.0	0.0	0.0	0.0	0.0	11158	0.0004659999999603315	-
F47208_EMUL_G1	M1	6.0	-303.077753	0	0	0.0	0.0	0.7434			11158	0.0004659999999603315	-
F111793_MLIG_G1	M2	8.0	-783.4352269999999	0	0	0.0053	0.0382	0.1382	0.0	0.0	1965	8.200000002034358e-05	-
F111793_MLIG_G1	M1	6.0	-783.435268	0	0	0.0053	0.0382	0.1382			1965	8.200000002034358e-05	-
F114603_HMIC_G1	M1	5.0	-562.677767	0	0	0.0	0.0	0.0			2452	0.0	-
F114603_HMIC_G1	M2	7.0	-562.677767	0	0	0.0	0.0	0.0	0.0	0.0	2452	0.0	-
F21419_MLIG_G1	M1	5.0	-1004.643958	0	0	0.0048	0.0139	0.3441			6742	1.9999999949504854e-06	-
F21419_MLIG_G1	M2	7.0	-1004.643957	0	0	0.0	0.0	0.3441	0.0	0.0	6742	1.9999999949504854e-06	-
F42773_MLIG_G1	M2	8.0	-941.1787949999999	0	0	0.0	0.0	112.7761	0.0	0.0	10381	0.296212000000196	-
F42773_MLIG_G1	M1	6.0	-941.326901	0	0	0.0	0.0	1.0			10381	0.296212000000196	-
F111255_MLIG_G1	M1	12.0	-305.83982000000003	0	0	0.0	0.0	0.5174			1871	2.643511999999987	-
F111255_MLIG_G1	M2	14.0	-304.51806400000004	0	0	0.0	0.0	19.227	0.0	0.0	1871	2.643511999999987	-
F120349_SHAE_G1	M1	5.0	-1742.7135850000002	0	0	0.0	0.0	0.12			3432	0.0020100000001548324	-
F120349_SHAE_G1	M2	7.0	-1742.7125800000001	0	0	0.0	0.0	0.12	0.0	0.0	3432	0.0020100000001548324	-
F101246_MLIG_G1	M1	6.0	-2623.750325	0	0	0.0	0.0	0.7058			214	8.157397999999375	***
F101246_MLIG_G1	M2	8.0	-2619.6716260000003	0	0	0.0	0.0	2.0659	19.0	0.0	214	8.157397999999375	***
F29768_MLIG_G1	M1	6.0	-1051.59131	0	0	0.0085	0.0568	0.1494			8223	2.5999999706982635e-05	-
F29768_MLIG_G1	M2	8.0	-1051.5912970000002	0	0	0.0085	0.0568	0.1494	0.0	0.0	8223	2.5999999706982635e-05	-
F130228_MLIG_G1	M1	14.0	-877.58951	0	0	0.0	0.0	0.0345			5132	0.0001160000001618755	-
F130228_MLIG_G1	M2	16.0	-877.5894519999999	0	0	0.0	0.0	0.0345	0.0	0.0	5132	0.0001160000001618755	-
F39252_SJAP_G1	M2	7.0	-520.354033	0	0	0.0	0.0	0.0	0.0	0.0	9830	8.800000000519503e-05	-
F39252_SJAP_G1	M1	5.0	-520.354077	0	0	0.0	0.0	0.0819			9830	8.800000000519503e-05	-
F60422_ECAN_G1	M2	7.0	-371.175788	0	0	0.0	0.0	1.0823	0.0	0.0	13353	1.3999999964653398e-05	-
F60422_ECAN_G1	M1	5.0	-371.175795	0	0	0.0	0.0	0.3494			13353	1.3999999964653398e-05	-
F32059_TREG_G1	M2	16.0	-845.430523	0	0	0.0	0.0	9.666	13.0	12.0	8620	41.20461199999977	***
F32059_TREG_G1	M1	14.0	-866.0328289999999	0	0	0.0	0.0	0.5953			8620	41.20461199999977	***
F130757_MLIG_G1	M1	5.0	-924.5473800000001	0	0	0.0031	0.012	0.2584			5222	2.0000004496978363e-06	-
F130757_MLIG_G1	M2	7.0	-924.5473789999999	0	0	0.0065	0.0251	0.2584	0.0	0.0	5222	2.0000004496978363e-06	-
F59925_MLIG_G1	M1	5.0	-1073.231198	0	0	0.0	0.0	1.0			13253	0.00013799999987895717	-
F59925_MLIG_G1	M2	7.0	-1073.231129	0	0	0.0	0.0	13.4452	0.0	0.0	13253	0.00013799999987895717	-
F29843_MLIG_G1	M1	5.0	-1211.554734	0	0	0.0	0.0	0.0739			8238	-0.005446000000119966	-
F29843_MLIG_G1	M2	7.0	-1211.557457	0	0	0.0	0.0	0.0738	0.0	0.0	8238	-0.005446000000119966	-
F127841_SMAR_G1	M1	6.0	-1528.783038	0	0	0.0144	0.0272	0.5294			4737	2.000000222324161e-06	-
F127841_SMAR_G1	M2	8.0	-1528.783037	0	0	0.0144	0.0272	0.5294	0.0	0.0	4737	2.000000222324161e-06	-
F44209_MLIG_G1	M2	9.0	-1552.8168699999999	0	0	0.0	0.0	0.0622	0.0	0.0	10630	4.049556000000393	-
F44209_MLIG_G1	M1	7.0	-1554.841648	0	0	0.0	0.0	0.0233			10630	4.049556000000393	-
F44606_SMED_G1	M2	7.0	-2199.147226	0	0	8.7745	41.9659	0.2091	0.0	0.0	10695	0.3176320000002306	-
F44606_SMED_G1	M1	5.0	-2199.306042	0	0	13.4595	36.1166	0.3727			10695	0.3176320000002306	-
F34378_SMED_G1	M1	5.0	-315.98618	0	0	0.0025	0.0025	1.0			9003	0.8776779999999462	-
F34378_SMED_G1	M2	7.0	-315.547341	0	0	0.0	0.0	999.0	0.0	0.0	9003	0.8776779999999462	-
F4415_MLIG_G1	M2	8.0	-789.811933	0	0	0.0	0.0	91.9428	0.0	0.0	10618	0.000183999999990192	-
F4415_MLIG_G1	M1	6.0	-789.812025	0	0	0.0	0.0	0.7434			10618	0.000183999999990192	-
F118512_MLIG_G1	M1	10.0	-281.700941	0	0	0.0	0.0	0.0584			3117	0.00010199999996984843	-
F118512_MLIG_G1	M2	12.0	-281.70089	0	0	0.0	0.0	0.0584	0.0	0.0	3117	0.00010199999996984843	-
F10828_MLIG_G1	M2	8.0	-785.986207	0	0	0.0	0.0	0.4063	0.0	0.0	1357	1.9999999949504854e-06	-
F10828_MLIG_G1	M1	6.0	-785.986208	0	0	0.0	0.0	0.4063			1357	1.9999999949504854e-06	-
F67134_TREG_G1	M2	7.0	-1066.4906210000001	0	0	2.3593	5.0465	0.4675	0.0	0.0	14500	-0.7329500000000735	-
F67134_TREG_G1	M1	5.0	-1066.124146	0	0	2.6094	2.6094	1.0			14500	-0.7329500000000735	-
F94902_MLIG_G1	M2	9.0	-180.846261	0	0	0.0	0.0	0.8041	0.0	0.0	19087	0.0	-
F94902_MLIG_G1	M1	7.0	-180.846261	0	0	0.0	0.0	0.8041			19087	0.0	-
F32595_TSAG_G1	M1	5.0	-1142.726656	0	0	0.0	0.0	0.8609			8713	1.8000000181928044e-05	-
F32595_TSAG_G1	M2	7.0	-1142.726647	0	0	0.0174	0.0202	0.8605	0.0	0.0	8713	1.8000000181928044e-05	-
F65189_MLIG_G1	M2	7.0	-5016.870911	0	0	0.0	0.0	0.3196	0.0	0.0	14124	7.99999907030724e-06	-
F65189_MLIG_G1	M1	5.0	-5016.8709149999995	0	0	0.0033	0.0103	0.3196			14124	7.99999907030724e-06	-
F12360_SJAP_G1	M2	7.0	-642.0841929999999	0	0	0.955	110.5058	0.0086	0.0	0.0	4027	1.8000000181928044e-05	-
F12360_SJAP_G1	M1	5.0	-642.084202	0	0	0.9561	110.4993	0.0087			4027	1.8000000181928044e-05	-
F42535_MLIG_G1	M1	6.0	-1869.725688	0	0	0.0	0.0271	0.0			10350	0.000529999999798747	-
F42535_MLIG_G1	M2	8.0	-1869.725423	0	0	0.0	0.0271	0.0	0.0	0.0	10350	0.000529999999798747	-
F117092_MLIG_G1	M2	9.0	-2371.497559	0	0	0.0	0.0	9.1808	47.0	6.0	2867	38.626696000000265	***
F117092_MLIG_G1	M1	7.0	-2390.810907	0	0	0.0	0.0	0.5843			2867	38.626696000000265	***
F82796_TREG_G1	M2	7.0	-513.913216	0	0	0.0	0.0	0.884	0.0	0.0	17035	-3.80000001314329e-05	-
F82796_TREG_G1	M1	5.0	-513.913197	0	0	0.0	0.0	0.0			17035	-3.80000001314329e-05	-
F6965_MLIG_G1	M1	14.0	-818.968767	0	0	0.0	0.0	0.0923			14898	42.58716799999979	***
F6965_MLIG_G1	M2	16.0	-797.6751830000001	0	0	0.0	0.0	12.3435	5.0	2.0	14898	42.58716799999979	***
F63971_MLIG_G1	M2	7.0	-1809.993253	0	0	0.0081	0.0361	0.2235	0.0	0.0	13912	5.999999757477781e-06	-
F63971_MLIG_G1	M1	5.0	-1809.993256	0	0	0.0057	0.0256	0.2235			13912	5.999999757477781e-06	-
F63933_MLIG_G1	M2	7.0	-239.035212	0	0	0.0	0.0	1.0713	0.0	0.0	13903	0.0031240000000138934	-
F63933_MLIG_G1	M1	5.0	-239.036774	0	0	0.0071	0.0071	1.0			13903	0.0031240000000138934	-
F50313_MLIG_G1	M2	8.0	-1019.420239	0	0	0.0	0.0	1.2045	0.0	0.0	11643	1.8424099999997452	-
F50313_MLIG_G1	M1	6.0	-1020.3414439999999	0	0	0.0	0.0	0.8209			11643	1.8424099999997452	-
F7197_TREG_G1	M2	7.0	-3285.670544	0	0	0.1325	0.5269	0.2515	0.0	0.0	15257	0.0	-
F7197_TREG_G1	M1	5.0	-3285.670544	0	0	0.1325	0.5269	0.2515			15257	0.0	-
F128495_MLIG_G1	M1	5.0	-975.717533	0	0	0.0	0.0	0.3548			4861	5.664960000000065	-
F128495_MLIG_G1	M2	7.0	-972.885053	0	0	0.1602	0.0167	9.5752	0.0	0.0	4861	5.664960000000065	-
F11055_MLIG_G1	M1	5.0	-1045.8089300000001	0	0	0.0	0.0117	0.0			1748	0.0001160000001618755	-
F11055_MLIG_G1	M2	7.0	-1045.808872	0	0	0.0	0.0117	0.0	0.0	0.0	1748	0.0001160000001618755	-
F108976_MLIG_G1	M1	5.0	-611.686767	0	0	0.0012	0.0073	0.1622			1472	-0.0060659999999188585	-
F108976_MLIG_G1	M2	7.0	-611.6898	0	0	0.0051	0.0216	0.235	0.0	0.0	1472	-0.0060659999999188585	-
F74286_TREG_G1	M1	7.0	-2974.16412	0	0	0.0	0.0	0.9946			15624	47.635385999999926	***
F74286_TREG_G1	M2	9.0	-2950.346427	0	0	0.0	0.0	0.2534	0.0	0.0	15624	47.635385999999926	***
F27035_MLIG_G1	M1	6.0	-570.706992	0	0	0.0	0.0	0.2092			7767	0.0	-
F27035_MLIG_G1	M2	8.0	-570.706992	0	0	0.0	0.0	0.2092	0.0	0.0	7767	0.0	-
F1793_MLIG_G1	M1	6.0	-4372.765493999999	0	0	0.0016	0.0203	0.0798			6169	4.7999998059822246e-05	-
F1793_MLIG_G1	M2	8.0	-4372.76547	0	0	0.0016	0.0203	0.0798	0.0	0.0	6169	4.7999998059822246e-05	-
F52812_MLIG_G1	M1	6.0	-1189.684129	0	0	0.0	0.0	0.4915			12058	2.000000222324161e-06	-
F52812_MLIG_G1	M2	8.0	-1189.6841279999999	0	0	0.0	0.0	0.4915	0.0	0.0	12058	2.000000222324161e-06	-
F17196_HDIM_G1	M2	9.0	-48.165312	0	0	0.0	0.0	0.6609	0.0	0.0	6042	1.9999999949504854e-06	-
